MCC,Description,Required Abbreviation (Payment Brand) M,Required Abbreviation (Payment Brand) V,Valid Payment Brand(s)
3626,Studio Plus,,,"V, M"
3627,Extended Stay America,,,"V, M"
3628,Excalibur Hotel and Casino,,,"V, M"
3629,Dan Hotels,,,"V, M"
3630,Extended Stay Deluxe,,,"V, M"
3631,Sleep Inn,,,"V, M"
3632,The Phoenician,,,"V, M"
3633,Rank Hotels,,,"V, M"
3634,Swissotel,,,"V, M"
3635,Reso Hotels,,,"V, M"
3636,Sarova Hotels,,,"V, M"
3637,Ramada Inns,,,"V, M"
3638,Howard Johnson,,,"V, M"
3639,Mount Charlotte Hotels,,,"V, M"
3640,Hyatt Hotels/International,,,"V, M"
3641,Sofitel Hotels,,,"V, M"
3642,Novotel Sieh (Accor),,,"V, M"
3643,Steigenberger,,,"V, M"
3644,Econo-Travel Motor Hotel,,,"V, M"
3645,Queens Moat Houses,,,"V, M"
3646,Swallow Hotels,,,"V, M"
3647,Grupo Hotels HUSA SA,,,"V, M"
3648,De Vere Hotels,,,"V, M"
3649,Radisson,,,"V, M"
3650,Red Roof Inns,,,"V, M"
3651,Imperial London Hotels,,,"V, M"
3652,Embassy Hotels,,,"V, M"
3653,Penta Hotels,,,"V, M"
3654,Loews Hotels,,,"V, M"
3655,Scandic Hotels,,,"V, M"
3656,Sara Hotels,,,"V, M"
3657,Oberoi Hotels,,,"V, M"
3658,New Otani Hotels,,,"V, M"
3659,Taj Hotels Intl,,,"V, M"
3660,Knights Inn,,,"V, M"
3661,Metropole Hotels,,,"V, M"
3662,Circus Circus Hotel and Casino,,,"V, M"
3663,Hoteles El Presidente,,,"V, M"
3664,Flag Inns,,,"V, M"
3665,Hampton Inns,,,"V, M"
3666,Stakis Hotels,,,"V, M"
3667,Luxor Hotel and Casino,,,"V, M"
3668,Maritim,,,"V, M"
3669,Eldorado Hotel and Casino,,,"V, M"
3670,Arcade,,,"V, M"
3671,Arctia,,,"V, M"
3672,Campanile,,,"V, M"
3673,Ibusz Hotels,,,"V, M"
3674,Rantasipi Hotels,,,"V, M"
3675,Interhotel Cedok,,,"V, M"
3676,Monte Carlo Hotel and Casino,,,"V, M"
3677,Climat De France,,,"V, M"
3678,Cumulus Hotels,,,"V, M"
3679,Silver Legacy Hotel and Casino,,,"V, M"
3680,Hoteis Othan,,,"V, M"
3681,Adams Mark,,,"V, M"
3682,Sahara Hotel and Casino,,,"V, M"
3683,Bradbury Suites,,,"V, M"
3684,Budget Host Inns,,,"V, M"
3685,Budgetel,,,"V, M"
3686,Suisse Chalet,,,"V, M"
3687,Clarion Hotel,,,"V, M"
3688,Compri Hotel,,,"V, M"
3689,Consort,,,"V, M"
3690,Courtyard by Marriott,,,"V, M"
3691,Dillon Inn,,,"V, M"
3692,Doubletree,,,"V, M"
3693,Drury Inn,,,"V, M"
3694,Economy Inns Of America,,,"V, M"
3695,Embassy Suites,,,"V, M"
3696,Excel Inn,,,"V, M"
3697,Fairfield Hotel,,,"V, M"
3698,Harley Hotel,,,"V, M"
3699,Midway Motor Lodge,,,"V, M"
3700,Motel 6,,,"V, M"
3701,La Mansion Del Rio,,,"V, M"
3702,Registry Hotels,,,"V, M"
3703,Residence Inn,,,"V, M"
3704,Royce Hotel,,,"V, M"
3705,Sandman Inn,,,"V, M"
3706,Shilo Inn,,,"V, M"
3707,Shoneys Inn,,,"V, M"
3708,Virgin River Hotel and Casino,,,"V, M"
3709,Super 8 Motel,,,"V, M"
3710,Ritz-Carlton,,,"V, M"
3711,Flag Inns (Australia),,,"V, M"
3712,Buffalo Bills Hotel and Casino,,,"V, M"
3713,Quality Pacific Hotel,,,"V, M"
3714,Four Seasons (Australia),,,"V, M"
3715,Fairfield Inn,,,"V, M"
3716,Carlton Hotels,,,"V, M"
3717,City Lodge Hotels,,,"V, M"
3718,Karos Hotels,,,"V, M"
3719,Protea Hotels,,,"V, M"
3720,Southern Sun Hotels,,,"V, M"
3721,Conrad Hotels,,,"V, M"
3722,Wyndham,,,"V, M"
3723,Rica Hotels,,,"V, M"
3724,Inter Nor Hotels,,,"V, M"
3725,Sea Pines Resort,,,"V, M"
3726,Rio Suites,,,"V, M"
3727,Broadmoor Hotel,,,"V, M"
3728,Ballys Hotel and Casino,,,"V, M"
3729,John Ascuagas Nugget,,,"V, M"
3730,MGM Grand Hotel,,,"V, M"
3731,Harrah’s Hotels and Casinos,,,"V, M"
3732,Opryland Hotel,,,"V, M"
3733,Boca Raton Resort,,,M
3734,Harvey Bristol Hotels,,,"V, M"
3735,Masters Economy Inns,,,"V, M"
3736,Colorado Belle Edgewater Resort,,,"V, M"
3737,Riviera Hotel and Casino,,,"V, M"
3738,Tropicana Resort and Casino,,,"V, M"
3739,Woodside Hotels and Resorts,,,"V, M"
3740,Towneplace Suites,,,"V, M"
3741,Millennium Broadway Hotel,,,"V, M"
3742,Club Med,,,"V, M"
3743,Biltmore Hotel and Suites,,,"V, M"
3744,Carefree Resorts,,,"V, M"
3745,St. Regis Hotel,,,"V, M"
3746,The Eliot Hotel,,,"V, M"
3747,Club Corporation/Club Resorts,,,"V, M"
3748,Wellesley Inns,,,"V, M"
3749,Beverly Hills Hotel,,,"V, M"
